,,,,,
Incorporated Cities and Census Designated Places (CDP) by County in California,,,,,
Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),,Geoid
Morro Bay city,"10,757",5.3,"2,019",,1600000US0649362
Nipomo CDP,"18,176",15.1,"1,206",,1600000US0651476
Oak Shores CDP,316,5.1,62,,1600000US0653160
Oceano CDP,"7,183",1.5,"4,675",,1600000US0653294
Pismo Beach city,"8,072",3.5,"2,308",,1600000US0657414
San Luis Obispo city,"47,063",13.3,"3,537",,1600000US0668154
San Miguel CDP,"3,172",1.7,"1,889",,1600000US0668266
San Simeon CDP,445,0.8,559,,1600000US0668434
Santa Margarita CDP,"1,291",0.5,"2,495",,1600000US0669182
Shandon CDP,"1,168",2.9,396,,1600000US0671134
Templeton CDP,"8,386",7.9,"1,060",,1600000US0678162
Whitley Gardens CDP,325,1.3,248,,1600000US0685222
Woodlands CDP,"1,933",1.7,"1,170",,1600000US0686380
San Mateo County,"764,442",448.6,"1,704",,0500000US06081
Atherton town,"7,188",5.0,"1,433",,1600000US0603092
Baywood Park CDP,"1,693",0.5,"3,084",,1600000US0604549
Belmont city,"28,335",4.6,"6,120",,1600000US0605108
Brisbane city,"4,851",3.0,"1,625",,1600000US0608310
Broadmoor CDP,"4,411",0.4,"10,211",,1600000US0608338
Burlingame city,"31,386",4.4,"7,144",,1600000US0609066
Colma town,"1,507",1.9,797,,1600000US0614736
Daly City city,"104,901",7.6,"13,733",,1600000US0617918
East Palo Alto city,"30,034",2.5,"11,881",,1600000US0620956
El Granada CDP,"5,481",4.9,"1,114",,1600000US0621936
Emerald Lake Hills CDP,"4,406",1.2,"3,727",,1600000US0622587
Foster City city,"33,805",3.8,"8,926",,1600000US0625338
Half Moon Bay city,"11,795",6.2,"1,890",,1600000US0631708
Highlands CDP,"2,359",1.3,"1,809",,1600000US0633632
Hillsborough town,"11,387",6.2,"1,847",,1600000US0633798
Ladera CDP,"1,557",0.4,"3,623",,1600000US0639094
La Honda CDP,979,4.3,230,,1600000US0639318
Loma Mar CDP,134,1.7,77,,1600000US0642384
Menlo Park city,"33,780",10.0,"3,381",,1600000US0646870
Millbrae city,"23,216",3.3,"7,103",,1600000US0647486
Montara CDP,"2,833",3.9,731,,1600000US0648760
Moss Beach CDP,"3,214",2.2,"1,431",,1600000US0649446
North Fair Oaks CDP,"14,027",1.2,"11,728",,1600000US0651840
Pacifica city,"38,640",12.6,"3,071",,1600000US0654806
Pescadero CDP,595,4.0,148,,1600000US0656756
Portola Valley town,"4,456",9.1,491,,1600000US0658380
Redwood City city,"84,292",19.3,"4,359",,1600000US0660102
San Bruno city,"43,908",5.5,"8,000",,1600000US0665028
San Carlos city,"30,722",5.4,"5,677",,1600000US0665070
San Mateo city,"105,661",12.1,"8,708",,1600000US0668252
South San Francisco city,"66,105",9.2,"7,183",,1600000US0673262
West Menlo Park CDP,"3,930",0.5,"8,103",,1600000US0684536
Woodside town,"5,309",11.5,463,,1600000US0686440
Santa Barbara County,"448,229","2,733.9",164,,0500000US06083
Ballard CDP,768,2.8,275,,1600000US0603694
Buellton city,"5,161",1.6,"3,262",,1600000US0608758
Carpinteria city,"13,264",2.6,"5,124",,1600000US0611446
Casmalia CDP,147,0.2,877,,1600000US0611754
Cuyama CDP,37,0.5,82,,1600000US0617727
Eastern Goleta Valley CDP,"28,656",16.6,"1,727",,1600000US0620574
Garey CDP,72,1.3,57,,1600000US0629070
Goleta city,"32,690",7.9,"4,163",,1600000US0630378
Guadalupe city,"8,057",1.3,"6,148",,1600000US0631414
Isla Vista CDP,"15,500",0.6,"28,119",,1600000US0636868
Lompoc city,"44,444",11.6,"3,824",,1600000US0642524
Los Alamos CDP,"1,839",0.9,"2,035",,1600000US0643252
Los Olivos CDP,"1,202",2.6,459,,1600000US0644168
Mission Canyon CDP,"2,540",1.8,"1,411",,1600000US0648147
Mission Hills CDP,"3,571",1.2,"2,954",,1600000US0648186
Montecito CDP,"8,638",9.2,941,,1600000US0648844
New Cuyama CDP,542,0.6,857,,1600000US0651028
Orcutt CDP,"32,034",10.8,"2,960",,1600000US0654120
Santa Barbara city,"88,665",19.5,"4,545",,1600000US0669070
Santa Maria city,"109,707",22.8,"4,810",,1600000US0669196
Santa Ynez CDP,"4,505",4.8,933,,1600000US0670182
Sisquoc CDP,191,2.2,86,,1600000US0672086
Solvang city,"6,126",2.4,"2,526",,1600000US0672576
Summerland CDP,"1,222",1.4,875,,1600000US0675714
Toro Canyon CDP,"1,835",9.4,195,,1600000US0679529
University of California-Santa Barbara CDP,"9,710",1.3,"7,477",,1600000US0681316
Vandenberg AFB CDP,"3,559",22.4,159,,1600000US0682072
Vandenberg Village CDP,"7,308",5.3,"1,387",,1600000US0682086
Santa Clara County,"1,936,259","1,291.1","1,500",,0500000US06085
Alum Rock CDP,"12,042",0.9,"13,858",,1600000US0601458
Burbank CDP,"4,940",0.4,"11,868",,1600000US0608968
Cambrian Park CDP,"3,719",0.6,"6,095",,1600000US0610088
Campbell city,"43,959",6.1,"7,229",,1600000US0610345
Cupertino city,"60,381",11.3,"5,330",,1600000US0617610
East Foothills CDP,"6,803",2.1,"3,196",,1600000US0620598
Fruitdale CDP,989,0.3,"3,706",,1600000US0627080
Gilroy city,"59,520",16.5,"3,600",,1600000US0629504
Lexington Hills CDP,"2,492",4.7,528,,1600000US0641282
Los Altos city,"31,625",6.5,"4,836",,1600000US0643280
Los Altos Hills town,"8,489",9.0,940,,1600000US0643294
Los Gatos town,"33,529",11.6,"2,903",,1600000US0644112
Loyola CDP,"3,491",1.4,"2,511",,1600000US0644378
Milpitas city,"80,273",13.5,"5,954",,1600000US0647766
Monte Sereno city,"3,479",1.6,"2,131",,1600000US0648956
