Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area),Unnamed: 4,Geoid,geographic type
Tranquillity CDP,805,0.6174360653408433,1303.778715219066,,1600000US0680266,Rural
West Park CDP,1053,1.791667760622829,587.7205713820238,,1600000US0684680,Rural
Westside CDP,143,2.216526871939175,64.51534687458738,,1600000US0684863,Rural
Glenn County,28917,1313.967594058351,22.00739206260505,,0500000US06021,Suburban
Artois CDP,295,2.879651179851026,102.4429632533692,,1600000US0602910,Rural
Elk Creek CDP,138,1.47510374565442,93.55274190479207,,1600000US0622006,Rural
Hamilton City CDP,2263,0.4093459120273916,5528.331744640875,,1600000US0631890,Rural
Orland city,8298,2.988786820633918,2776.377339030157,,1600000US0654274,Suburban
Willows city,6293,2.835696149943552,2219.208147574369,,1600000US0685684,Suburban
Humboldt County,136463,3568.188435235993,38.24433672067955,,0500000US06023,Urban
Alderpoint CDP,137,2.427908546294423,56.42716658710033,,1600000US0600786,Rural
Arcata city,18857,9.420863339907367,2001.621222985007,,1600000US0602476,Suburban
Bayview CDP,2619,0.7318188346818595,3578.754571325766,,1600000US0604478,Rural
Benbow CDP,422,4.881095974189842,86.4559931276588,,1600000US0605262,Rural
Big Lagoon CDP,161,0.6073912311562834,265.0680348043653,,1600000US0606567,Rural
Blue Lake city,1208,0.5935880784003632,2035.081302938885,,1600000US0607162,Rural
Cutten CDP,3223,1.281226785606729,2515.557773383374,,1600000US0617722,Rural
Eureka city,26512,9.53619746500756,2780.143772953949,,1600000US0623042,Suburban
Fairhaven CDP,165,0.6496987630830722,253.9638512116155,,1600000US0623196,Rural
Ferndale city,1398,1.199172737479865,1165.80368808082,,1600000US0623910,Rural
Fieldbrook CDP,827,10.4677338273382,79.00468369191375,,1600000US0624008,Rural
Fields Landing CDP,287,0.2767086179549867,1037.192126942311,,1600000US0624022,Rural
Fortuna city,12516,5.248160609238344,2384.83555132975,,1600000US0625296,Suburban
Garberville CDP,818,2.679823999184552,305.2439265596959,,1600000US0628154,Rural
Hoopa CDP,3167,20.41159495719671,155.1569099152333,,1600000US0634540,Rural
